Origin_Date,Current_Price,Current_Open,Current_High,Current_Low,Current_Volume,Price_Lag1,Price_Lag2,Current_CHG,MA_7,MA_30,Volatility_7,Volatility_30,Momentum_7,Momentum_30,USD_Index_Return_Lag1,US10Y_Real_Yield_Change_Lag1,Target_Date,Target_Next_Return,Target_Next_Price,Split
2020-10-21,51313,51000,51398,50967,26660,50937.0,50751.0,0.007381667550110826,50757.28571428572,50790.5,0.008328804680147791,0.009062783728622386,0.0028730016026268235,-0.0023331324247078955,-0.0013396520544074475,0.020000000000000018,2020-10-22,-0.011147272620973259,50741.0,Train
2020-10-22,50741,51170,51186,50563,22820,51313.0,50937.0,-0.011147272620973259,50819.42857142857,50765.666666666664,0.006434384868735129,0.009283318043737887,0.008647079871188401,-0.014469952996931212,-0.002930189980780762,0.0,2020-10-23,0.0015569263514711995,50820.0,Train
2020-10-23,50820,50801,51040,50659,22780,50741.0,51313.0,0.0015569263514711995,50848.857142857145,50731.933333333334,0.006079602272918252,0.009193343518322041,0.0040700201525269986,-0.019524617996604432,0.0017839924532767615,0.020000000000000018,2020-10-26,0.0026170798898070835,50953.0,Train
2020-10-26,50953,50686,51100,50531,24720,50820.0,50741.0,0.0026170798898070835,50874.28571428572,50717.26666666667,0.0060432769319374606,0.00908899377644695,0.0035056622353519806,-0.008561477243982596,-0.0008964885793261157,-0.010000000000000009,2020-10-27,0.0006084038231310984,50984.0,Train
2020-10-27,50984,50999,51111,50766,20580,50953.0,50820.0,0.0006084038231310984,50928.42857142857,50691.433333333334,0.00580186765343373,0.008984111357496133,0.007489378519909051,-0.014973241368650858,0.002322354246404368,-0.010000000000000009,2020-10-28,-0.009826612270516288,50483.0,Train
2020-10-28,50483,50915,51049,50306,27040,50984.0,50953.0,-0.009826612270516288,50890.142857142855,50646.933333333334,0.00700722018110602,0.00913840131160845,-0.0052806841244507075,-0.025763248292099306,-0.002312636136284296,-0.010000000000000009,2020-10-29,-0.004100390230374562,50276.0,Train
2020-10-29,50276,50444,50610,50122,21880,50483.0,50984.0,-0.004100390230374562,50795.71428571428,50593.6,0.006806357767945843,0.00914970902928019,-0.012976814496338585,-0.03084277893438203,0.006861827044049917,0.010000000000000009,2020-10-30,0.007259925212825147,50641.0,Train
2020-10-30,50641,50370,50790,50197,4860,50276.0,50483.0,0.007259925212825147,50699.71428571428,50565.03333333333,0.006778954629050384,0.009190585405910607,-0.013096096505758825,-0.01664142296788229,0.004357426406902176,0.050000000000000044,2020-11-02,0.007721016567603378,51032.0,Train
2020-11-02,51032,50715,51068,50582,700,50641.0,50276.0,0.007721016567603378,50741.28571428572,50540.63333333333,0.006197758500996235,0.009256692324667911,0.005735007193393926,-0.014141101924117105,-0.0014745470819014228,0.040000000000000036,2020-11-03,0.00934707634425469,51509.0,Train
2020-11-03,51509,51029,51572,50737,320,51032.0,50641.0,0.00934707634425469,50839.71428571428,50573.86666666667,0.006997110021594972,0.008260483212090268,0.013557654466745284,0.019737884067152267,0.0008670913433801442,-0.020000000000000018,2020-11-04,-0.013201576423537587,50829.0,Train
2020-11-04,50829,51375,51455,50790,930,51509.0,51032.0,-0.013201576423537587,50822.0,50586.36666666667,0.009009524808914461,0.008637249992039095,-0.0024336152925245047,0.007432512783922096,-0.006503143171527559,0.020000000000000018,2020-11-05,0.021090322453717336,51901.0,Train
2020-11-05,51901,51115,52079,51035,380,50829.0,51509.0,0.021090322453717336,50953.0,50663.86666666667,0.012140561255012764,0.008777432005315824,0.01798603483445782,0.04689769243182185,-0.002706091607046046,-0.040000000000000036,2020-11-06,0.005568293481821085,52190.0,Train
2020-11-06,52190,51900,52490,51762,36600,51901.0,50829.0,0.005568293481821085,51196.857142857145,50738.23333333333,0.010835874288258938,0.008733960930439502,0.0338133629142483,0.04465661842711022,-0.006183157256765548,-0.010000000000000009,2020-11-09,-0.04589001724468289,49795.0,Train
2020-11-09,49795,52300,52530,49526,68550,52190.0,51901.0,-0.04589001724468289,51128.142857142855,50746.76666666667,0.022159599141970236,0.012194655497429197,-0.009567189116079233,0.005167645693292089,-0.004051352664264596,0.050000000000000044,2020-11-10,0.01538307058941668,50561.0,Train
2020-11-10,50561,50150,50665,50150,36310,49795.0,52190.0,0.01538307058941668,51116.71428571428,50767.86666666667,0.022875036039391432,0.01243185709876184,-0.0015797476353152096,0.012678256689633072,0.0008562011862245367,0.04999999999999993,2020-11-11,-0.006546547734419761,50230.0,Train
2020-11-11,50230,50542,50580,50010,31070,50561.0,49795.0,-0.006546547734419761,51002.142857142855,50755.3,0.022707709711677005,0.012242290662028664,-0.01571562940899829,-0.007449562313513902,-0.00012095766919828499,-0.010000000000000009,2020-11-12,0.008401353772645725,50652.0,Train
2020-11-12,50652,50352,50847,50272,27720,50230.0,50561.0,0.008401353772645725,50879.71428571428,50769.3,0.022631384355150202,0.01226044309852594,-0.016637869110252557,0.008361204013378032,-0.00012095766919828499,-0.010000000000000009,2020-11-13,0.006001737345020963,50956.0,Train
2020-11-13,50956,50636,51161,50636,23840,50652.0,50230.0,0.006001737345020963,50897.857142857145,50789.666666666664,0.02223175623129465,0.012299551919233778,0.002498573648901159,0.012136259807329353,0.0018286103000024756,-0.04999999999999993,2020-11-14,-0.00021587251746602032,50945.0,Train
2020-11-14,50945,50961,51125,50901,2260,50956.0,50652.0,-0.00021587251746602032,50761.28571428572,50794.2,0.02033183127769621,0.012188484492616265,-0.01841968362844648,0.0026766911373969915,-0.00039025482940358014,0.0,2020-11-16,-0.0014721758759446146,50870.0,Train
2020-11-16,50870,50948,51080,50111,22590,50945.0,50956.0,-0.0014721758759446146,50572.71428571428,50802.63333333333,0.02003989537529337,0.012170028928917406,-0.02529220157118217,0.0049983207222870085,-0.00039025482940358014,0.0,2020-11-17,-0.0012581089050520688,50806.0,Train
2020-11-17,50806,50880,51038,50727,21980,50870.0,50945.0,-0.0012581089050520688,50717.142857142855,50825.066666666666,0.0074281495038967535,0.012033092822393489,0.02030324329751987,0.013424291384916076,-0.0035758147123986506,0.019999999999999907,2020-11-18,-0.008443884580561334,50377.0,Train
2020-11-18,50377,50680,50690,50108,30920,50806.0,50870.0,-0.008443884580561334,50690.857142857145,50829.666666666664,0.0060933454465823605,0.012138660768379928,-0.003639168529103509,0.0027468699615835757,-0.0013107127044253986,-0.019999999999999907,2020-11-19,-0.0062330031562022326,50063.0,Train
2020-11-19,50063,50242,50265,49830,31010,50377.0,50806.0,-0.0062330031562022326,50667.0,50802.7,0.006042470448043259,0.01195898829566527,-0.0033247063507864105,-0.01590265765057397,-0.001952815749195147,0.010000000000000009,2020-11-20,0.004314563649801206,50279.0,Train
2020-11-20,50279,50100,50491,50001,25040,50063.0,50377.0,0.004314563649801206,50613.71428571428,50773.13333333333,0.005179376358704468,0.011935588511853935,-0.007363973781884248,-0.01733573075870698,0.0020624008461131993,-0.020000000000000018,2020-11-23,-0.014399649953260818,49555.0,Train
2020-11-23,49555,50323,50400,49385,34510,50279.0,50063.0,-0.014399649953260818,50413.57142857143,50748.1,0.0061945461747168655,0.011829837887373353,-0.027494308815448676,-0.014928636743132051,-0.0018030854750470393,-0.020000000000000018,2020-11-24,-0.01759660982746447,48683.0,Train
2020-11-24,48683,49429,49429,48621,35190,49555.0,50279.0,-0.01759660982746447,50090.42857142857,50683.73333333333,0.007736022570149901,0.012164514098700991,-0.04440082441849058,-0.038151499585095006,0.0023420772057203276,0.010000000000000009,2020-11-25,-0.0023622208984656057,48568.0,Train
2020-11-25,48568,48614,48981,48486,27980,48683.0,49555.0,-0.0023622208984656057,49761.57142857143,50610.166666666664,0.00764754702755615,0.012137378701011422,-0.04525260467859249,-0.04346627277203352,-0.002841198788974153,-0.010000000000000009,2020-11-26,0.0005971009718332976,48597.0,Train
2020-11-26,48597,48600,48840,48495,19380,48568.0,48683.0,0.0005971009718332976,49446.0,50543.23333333333,0.007890536947380613,0.012137006167621376,-0.043479116639767,-0.03967987353028357,-0.0021978002602449642,-0.010000000000000009,2020-11-27,-0.008395579974072476,48189.0,Train
2020-11-27,48189,48587,48668,47879,23050,48597.0,48568.0,-0.008395579974072476,49133.42857142857,50457.833333333336,0.007888373808447709,0.012178303278714192,-0.04343251880818633,-0.050481763906129906,-0.0021978002602449642,-0.010000000000000009,2020-11-30,-0.00603872253003801,47898.0,Train
2020-11-30,47898,47889,48075,47526,2040,48189.0,48597.0,-0.00603872253003801,48824.142857142855,50356.53333333333,0.007888976144937176,0.012161053325911296,-0.04324551065657267,-0.05966193533188058,-0.0021978002602449642,-0.040000000000000036,2020-12-01,0.015512129942795161,48641.0,Train
2020-12-01,48641,48200,48937,47809,360,47898.0,48189.0,0.015512129942795161,48590.142857142855,50267.46666666667,0.010938488907444593,0.012463616607483236,-0.03257821356828894,-0.05207257420146938,0.00038256865251895533,-0.020000000000000018,2020-12-02,0.00653769453753017,48959.0,Train
2020-12-02,48959,48630,49080,48377,380,48641.0,47898.0,0.00653769453753017,48505.0,50208.066666666666,0.010694128976367033,0.012419769794230318,-0.012027040661890864,-0.03511952858635026,-0.0037032261255405263,0.040000000000000036,2020-12-03,0.0020833758859453155,49061.0,Train
2020-12-03,49061,49210,49334,48881,650,48959.0,48641.0,0.0020833758859453155,48559.0,50149.433333333334,0.00807882532143517,0.012424047110017709,0.007764517387999881,-0.034612357339630084,-0.0017268539079819956,-0.010000000000000009,2020-12-04,0.005319907869794749,49322.0,Train
2020-12-04,49322,49054,49606,47651,110,49061.0,48959.0,0.005319907869794749,48666.71428571428,50095.066666666666,0.008046544948369594,0.012461658816447731,0.015524625267665959,-0.03200989146860833,-0.005220603579563443,-0.039999999999999925,2020-12-07,0.01218523174242736,49923.0,Train
2020-12-07,49923,49376,49991,48867,31170,49322.0,49061.0,0.01218523174242736,48856.142857142855,50059.7,0.00881020712698256,0.012690578347565828,0.027285634915735546,-0.02081045033736073,-0.002194180511963628,0.019999999999999907,2020-12-08,0.0025238867856498537,50049.0,Train
2020-12-08,50049,50100,50122,49710,26650,49923.0,49322.0,0.0025238867856498537,49121.857142857145,50045.23333333333,0.007067493079003405,0.012581538612868162,0.03859802029508819,-0.008596953429867438,0.0005430416415423966,-0.019999999999999907,2020-12-09,-0.015844472417031352,49256.0,Train
2020-12-09,49256,49961,49961,49124,32650,50049.0,49923.0,-0.015844472417031352,49315.857142857145,50011.23333333333,0.01006106542236832,0.012885779970005362,0.028351914484947116,-0.020288010183785454,0.00022711320341395336,-0.030000000000000027,2020-12-10,-0.003552866655838871,49081.0,Train
2020-12-10,49081,49256,49470,48968,27640,49256.0,50049.0,-0.003552866655838871,49378.71428571428,49959.23333333333,0.008959844360213872,0.012809294728100669,0.009045866655702062,-0.030805078888647586,0.001489309777327641,0.010000000000000009,2020-12-11,0.004584258674436237,49306.0,Train
2020-12-11,49306,49102,49395,48903,26230,49081.0,49256.0,0.004584258674436237,49428.28571428572,49901.7,0.008799298308538152,0.012748631020856641,0.007087563062970981,-0.03382191566076187,-0.0004614814715635518,0.0,2020-12-14,-0.007909787855433392,48916.0,Train
